DATE,T10Y2Y,NASDAQ_RSI,WILSHIRE_RSI,GOLD_RSI,DGS30_RSI
1980-11-03,-0.77,27.47505756,38.39794576,28.8153682,84.41558442
1980-11-05,-0.77,39.03225806,39.83729892,40.52608114,88.34355828
1980-11-06,-0.53,37.60099441,37.85747501,34.78760046,88.82352941
1980-11-07,-0.7,38.21857233,39.72119182,29.20012849,87.58169935
1980-11-10,-0.51,37.46130031,37.32503888,35.79169175,88.48484848
1980-11-11,-0.45,45.85730725,45.31406665,34.38403702,76.75070028
1980-11-12,-0.39,49.67914439,53.63304496,37.63056625,64.44444444
1980-11-13,-0.4,61.63522013,65.37124156,40.39849841,65.53672316
1980-11-14,-0.46,63.81611468,66.09762203,45.95926413,71.875
1980-11-17,-0.76,69.48331539,74.03240566,42.08292524,68.60465116
1980-11-18,-0.85,74.8015873,76.37841543,45.32191564,54.05405405
1980-11-19,-0.86,75.44707588,75.7920311,45.14794782,49.46808511
1980-11-20,-0.94,84.64586429,85.31457955,47.24602203,48.36956522
1980-11-21,-1.03,82.65356265,78.67794235,50.54979579,53.60824742
1980-11-24,-1.12,75.35501603,73.67985946,50.2184769,52.26130653
1980-11-25,-1.25,73.28699106,72.53019845,37.11180124,48.38709677
1980-11-26,-1.35,83.21501014,84.53019352,47.28171334,40.36144578
1980-11-28,-1.41,85.95284872,84.92216794,57.4,42.10526316
1980-12-01,-1.33,75.46356188,71.81800256,57.4,44.38202247
1980-12-02,-1.3,69.33689364,67.25469729,63.49557522,50.47923323
1980-12-03,-1.12,67.03349282,60.40218004,56.56565657,55.24475524
1980-12-04,-1.24,65.06085193,53.84506142,58.13047712,57.04225352
1980-12-05,-1.49,52.94667914,42.47144985,51.98084458,45.38461538
1980-12-08,-1.54,39.91537377,32.34477796,52.64550265,42.74193548
1980-12-09,-1.44,33.90144498,24.30871053,48.28218049,66.38655462
1980-12-10,-1.44,28.98603968,22.30112175,35.34520191,75.20661157
1980-12-11,-1.4,20.96826955,15.24702306,26.52040031,80.64516129
1980-12-12,-1.53,27.23091076,24.38784541,21.2751449,62.85714286
1980-12-15,-1.58,34.80333731,25.22504196,34.24737456,65.69767442
1980-12-16,-1.61,30.39698638,23.31003547,34.29739994,67.9558011
1980-12-17,-1.7,31.37142857,27.9970617,34.39323221,61.80904523
1980-12-18,-1.67,33.09192201,27.64627725,37.09396752,57.2815534
1980-12-19,-1.41,39.87268519,36.09662366,30.85237801,43.6123348
1980-12-22,-1.1,44.43813848,43.34134247,39.99432302,36.26373626
1980-12-23,-0.69,42.61430246,42.51328854,41.23798756,41.4893617
1980-12-24,-0.95,40.86378738,44.33208366,41.9921875,41.4893617
1980-12-26,-0.7,47.2007722,53.09022805,44.89187174,41.34275618
1980-12-29,-0.67,57.82420181,61.43940843,46.02446483,39.41605839
1980-12-30,-0.58,60.69868996,63.52791069,42.75568182,36.15384615
1980-12-31,-0.63,67.12275215,73.99413993,48.4423676,33.6
1981-01-02,-0.68,83.69763206,84.64062262,56.12788632,23.14814815
1981-01-05,-0.13,82.19791149,84.09575729,65.77868852,23.25581395
1981-01-06,-0.31,78.86272257,84.39581351,58.96805897,22.16981132
1981-01-07,-0.54,62.43747158,63.46416715,65.93406593,26.33928571
1981-01-08,-0.74,54.38761145,50.1345895,50.93333333,29.75609756
1981-01-09,-0.96,53.91180654,50.2617801,51.45118734,38.60465116
1981-01-12,-0.72,51.32699049,47.5658081,45.66744731,46.11111111
1981-01-13,-0.77,45.29220779,37.94786991,34.09090909,62.40601504
1981-01-14,-0.42,47.99382716,41.16532449,30.55555556,56.03448276
1981-01-15,-0.63,49.27245359,42.60628466,28.77492877,61.36363636
1981-01-16,-0.55,41.37273594,43.49408553,27.78541953,60.90225564
1981-01-19,-0.98,53.7084399,47.55824558,26.86170213,64.13793103
1981-01-20,-0.98,46.61478599,37.33884867,35.92814371,55.10204082
1981-01-21,-1.02,41.30879346,34.55634336,42.78074866,60.47904192
1981-01-22,-0.96,36.72036349,28.80500606,38.27160494,62.71186441
1981-01-23,-0.9,36.14005836,22.16991541,32.60869565,73.50993377
1981-01-26,-0.7,34.29588608,21.43365097,23.35907336,68.94409938
1981-01-27,-0.67,49.56654768,35.49708112,22.87334594,64.78873239
1981-01-28,-0.71,54.0348964,39.67280164,30.26052104,64.78873239
1981-01-29,-0.62,50.6440281,36.43149284,22.96564195,60
1981-01-30,-0.58,48.07574832,32.50120482,27.34530938,57.69230769
1981-02-02,-0.65,38.01932367,26.14561526,23.59346642,62.58503401
1981-02-03,-0.72,36.2959285,31.11802141,22.49134948,66.66666667
1981-02-04,-0.77,37.04612365,28.68907689,30.6501548,57.69230769
1981-02-05,-0.68,46.55951783,30.60614891,30.04552352,67.27272727
1981-02-06,-0.8,39.44223108,37.46610629,34.65491924,65.38461538
1981-02-09,-0.76,44.28115016,41.63151552,36.06321839,73.33333333
1981-02-10,-0.83,45.44262295,42.63344647,32.26788432,71.22302158
1981-02-11,-0.92,45.68226763,43.1594565,31.54761905,70.37037037
1981-02-12,-0.86,40.88916719,39.69099227,32.21884498,76.55677656
1981-02-13,-0.8,42.67973856,40.05752782,36.86956522,83.82352941
1981-02-17,-0.64,38.84239888,37.75839032,43.22344322,69.375
1981-02-18,-0.68,41.1409396,42.43756871,41.50943396,66.87116564
1981-02-19,-0.63,34.31013431,37.13323713,50.21459227,59.42857143
1981-02-20,-0.65,33.53221957,38.75779961,52.94117647,57.14285714
1981-02-23,-0.73,49.88290398,52.30848594,55.65031983,59.375
1981-02-24,-0.79,51.43721634,47.24177287,60,55.68181818
1981-02-25,-0.71,47.63458401,49.51765562,50.84745763,61.62790698
1981-02-26,-0.63,49.36908517,51.23945148,49.04632153,58.75
1981-02-27,-0.65,50.53929122,48.54837214,40.68767908,57.59493671
1981-03-02,-0.78,58.13598167,58.48523248,28.57142857,61.04651163
1981-03-03,-0.7,56.07958732,52.72871078,24.25,52.22222222
1981-03-04,-0.76,61.23853211,58.38306602,34.88372093,50.57471264
1981-03-05,-0.74,68.22660099,58.57971557,32.45192308,46.86567164
1981-03-06,-0.71,74.3902439,63.46985734,35.87962963,37.2972973
1981-03-09,-0.75,74.71910112,65.0523906,38.85209713,41.31736527
1981-03-10,-0.66,66.77067083,59.09803239,42.76859504,44.31137725
1981-03-11,-0.67,73.16239316,67.64999003,38.14229249,50.96774194
1981-03-12,-0.67,80.4505814,76.1015102,34.38155136,51.63398693
1981-03-13,-0.59,81.43547274,75.16583077,44.22310757,36.36363636
1981-03-16,-0.45,81.92204301,77.50421338,48.26923077,36.11111111
1981-03-17,-0.52,80.50397878,72.4038033,47.09302326,28.94736842
1981-03-18,-0.17,78.61818182,69.53419715,55.74712644,23.02631579
1981-03-19,-0.17,76.13636364,64.69605878,58.7890625,28.83435583
1981-03-20,-0.11,77.57437071,65.48853155,65.15151515,21.08843537
1981-03-23,-0.23,83.75819374,76.1405182,76.02996255,41.21212121
1981-03-24,-0.25,83.37061894,71.42090742,71.45631068,44.57142857
